dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
large,standard,join_count,joblib-pandas,0.019047170500073207,0.013855633000048329,0.024238708000098086,2
large,standard,join_count,pandas,0.01227499850000413,0.011936762000004819,0.012613235000003442,2
large,standard,mean,joblib-pandas,0.012702294000007441,0.01268592200005969,0.012718665999955192,2
large,standard,mean,pandas,0.00676077999997915,0.004939388000025247,0.008582171999933053,2
large,standard,mean_complex,joblib-pandas,0.015357732000040869,0.014937259000021186,0.015778205000060552,2
large,standard,mean_complex,pandas,0.0055267800000251555,0.005467887999998311,0.005585672000052,2
large,standard,mean_product,joblib-pandas,0.012605157999985295,0.012591607999979715,0.012618707999990875,2
large,standard,mean_product,pandas,0.005493655500004024,0.005065242999990005,0.005922068000018044,2
large,standard,mean_sum,joblib-pandas,0.012974272999997538,0.012789751000013894,0.013158794999981183,2
large,standard,mean_sum,pandas,0.008546835499998906,0.00356796400001258,0.013525706999985232,2
large,standard,product_columns,joblib-pandas,0.013397247000000334,0.012789789999942514,0.014004704000058155,2
large,standard,product_columns,pandas,0.016363450999904217,0.015522451999913756,0.017204449999894678,2
large,standard,read_collect,joblib-pandas,0.01265820150001673,0.012637825999945562,0.012678577000087898,2
large,standard,read_collect,pandas,0.007139964500026963,0.0034725430000435153,0.01080738600001041,2
large,standard,std,joblib-pandas,0.012668188499958433,0.012540929000010692,0.012795447999906173,2
large,standard,std,pandas,0.012449570999990556,0.009406278000028578,0.015492863999952533,2
large,standard,sum_columns,joblib-pandas,0.012815964499964139,0.012675476999902457,0.01295645200002582,2
large,standard,sum_columns,pandas,0.011506231999987904,0.009136359999956767,0.01387610400001904,2
large,standard,value_counts,joblib-pandas,0.014054195999960939,0.013703378999935012,0.014405012999986866,2
large,standard,value_counts,pandas,0.007484052499989957,0.005010652999999365,0.009957451999980549,2
medium,filtered,complex,joblib-pandas,0.016004871500001627,0.014529190999951425,0.01748055200005183,2
medium,filtered,complex,pandas,0.0047517959999936465,0.004543563999959588,0.004960028000027705,2
medium,filtered,count,joblib-pandas,0.014137731499999973,0.013662463000059688,0.014612999999940257,2
medium,filtered,count,pandas,0.0033673034999992524,0.0033302130000265606,0.003404393999971944,2
medium,filtered,count_index,joblib-pandas,0.014103669500059368,0.013368615000104,0.014838724000014736,2
medium,filtered,count_index,pandas,0.003608058499935396,0.0033554209999238083,0.0038606959999469836,2
medium,filtered,groupby,joblib-pandas,0.01443997550001086,0.014269053000020904,0.014610898000000816,2
medium,filtered,groupby,pandas,0.0047854259999553506,0.004757589999940137,0.004813261999970564,2
medium,filtered,join,joblib-pandas,0.014802717999941706,0.013652507999950103,0.01595292799993331,2
medium,filtered,join,pandas,0.0047063794999644415,0.004264863000003061,0.005147895999925822,2
medium,filtered,join_count,joblib-pandas,0.014461249000021326,0.014304621000064799,0.014617876999977852,2
medium,filtered,join_count,pandas,0.003864456999963295,0.003753027000016118,0.003975886999910472,2
medium,filtered,mean,joblib-pandas,0.013562530499996228,0.013561808999952518,0.013563252000039938,2
medium,filtered,mean,pandas,0.004414788499957467,0.0035786500000085653,0.005250926999906369,2
medium,filtered,mean_complex,joblib-pandas,0.015045268499989106,0.014832073999968998,0.015258463000009215,2
medium,filtered,mean_complex,pandas,0.004678216999991491,0.0046422489999713434,0.004714185000011639,2
medium,filtered,mean_product,joblib-pandas,0.013380547499991735,0.013293764000081865,0.013467330999901606,2
medium,filtered,mean_product,pandas,0.006209864999959791,0.004636370999946848,0.007783358999972734,2
medium,filtered,mean_sum,joblib-pandas,0.033899792499937575,0.01507888899993759,0.05272069599993756,2
medium,filtered,mean_sum,pandas,0.004307873500010828,0.004199512000013783,0.004416235000007873,2
medium,filtered,product_columns,joblib-pandas,0.013425105499948131,0.013026509999917835,0.013823700999978428,2
medium,filtered,product_columns,pandas,0.004139051499976176,0.003554463999989821,0.004723638999962532,2
medium,filtered,std,joblib-pandas,0.013729627500026709,0.013687024999967434,0.013772230000085983,2
medium,filtered,std,pandas,0.0035823409999693467,0.0035498879999522615,0.003614793999986432,2
medium,filtered,sum_columns,joblib-pandas,0.015314520499941864,0.013502521999953387,0.01712651899993034,2
medium,filtered,sum_columns,pandas,0.003465002499979164,0.003375519999963217,0.003554484999995111,2
medium,filtered,value_counts,joblib-pandas,0.013523042500025895,0.013269508999997015,0.013776576000054774,2
medium,filtered,value_counts,pandas,0.0035499679999588807,0.0035454409999147174,0.003554495000003044,2
medium,filtered_cached,complex,joblib-pandas,0.0015779230000134703,0.0014410459999680825,0.0017148000000588581,2
medium,filtered_cached,complex,pandas,0.0012569945000109328,0.0011941420000312064,0.0013198469999906592,2
medium,filtered_cached,count,joblib-pandas,9.614500015686644e-06,9.183999964079703e-06,1.0045000067293586e-05,2
medium,filtered_cached,count,pandas,8.111999989068863e-06,7.42099996386969e-06,8.803000014268036e-06,2
medium,filtered_cached,count_index,joblib-pandas,1.0995500019816973e-05,1.0765000070023234e-05,1.1225999969610712e-05,2
medium,filtered_cached,count_index,pandas,1.1371500022505643e-05,1.0535000001254957e-05,1.2208000043756329e-05,2
medium,filtered_cached,groupby,joblib-pandas,0.0014749515000289648,0.0014654020000079981,0.0014845010000499315,2
