dataset,mode,operation,dask,joblib-pandas,pandas
large,filtered,count,0.032663963000004514,0.02721047299996826,0.009134123000080763
large,filtered,count_index,0.030408438999984355,0.027209860999960256,0.009221461000038289
large,filtered,groupby,0.05582725900001151,0.03414582299990343,0.01872565099995427
large,filtered,join,0.05240620199992918,0.03262499100003424,0.014276568000013867
large,filtered,join_count,0.0401543349998974,0.0275408500000367,0.010226089000070715
large,filtered,mean,0.03255711600002087,0.02693225699999857,0.009728369999947972
large,filtered,mean_product,0.031083270000067387,0.02764335500000925,0.01098064699999668
large,filtered,mean_sum,0.03319240500002252,0.027165852000052837,0.010598598999990827
large,filtered,product_columns,0.029677723999952832,0.026539812999999413,0.009673307999946701
large,filtered,std,0.029500222000024223,0.027951817000030132,0.012248777999957383
large,filtered,sum_columns,0.03338988599989534,0.027489539000043806,0.010765379999952529
large,filtered,value_counts,0.04950288400004865,0.027543239000010544,0.009238366999966274
large,filtered_cached,count,0.003204411999945478,9.253000030184921e-06,6.149000000732485e-06
large,filtered_cached,count_index,0.0033006140000679807,9.874999932435458e-06,6.5089999452538905e-06
large,filtered_cached,groupby,0.034521815000061906,0.005436310000050071,0.00446615800001382
large,filtered_cached,join,0.014790756000024885,0.0016109769999275159,0.0011965850000024147
large,filtered_cached,join_count,0.018301963999988402,0.0014431790000344336,0.0009200270000064847
large,filtered_cached,mean,0.005951115000016216,0.00025762999996459257,0.00021830200000749755
large,filtered_cached,mean_product,0.013385567000000265,0.0005031919999964884,0.0003936299999622861
large,filtered_cached,mean_sum,0.012787201999913123,0.0004450159999578318,0.00033435299997108814
large,filtered_cached,product_columns,0.009313486999985798,0.0004714450000165016,0.00024179599995477474
large,filtered_cached,std,0.006170527999984188,0.0005605669999795282,0.0005295309999837627
large,filtered_cached,sum_columns,0.008986945999936324,0.0003454899999724148,0.0002387130000442994
large,filtered_cached,value_counts,0.042935383999974874,0.0011243079999303518,0.0009446429999115935
large,standard,count,0.005728216999955293,0.025097185999925387,0.011790296000071976
large,standard,count_index,0.01872047400001975,0.024573142000008374,0.008025342999985696
large,standard,groupby,0.05147643500004051,0.033815030000027946,0.015825693000010688
large,standard,join,0.042002036999974734,0.025490090000062082,0.008713402000012138
large,standard,join_count,0.027962970999965364,0.02597956600004636,0.012868763000028594
large,standard,mean,0.026929314999961207,0.024837997999952677,0.010077960999979041
large,standard,mean_product,0.028270441000017854,0.02560690200004956,0.0072432340000432305
large,standard,mean_sum,0.028073034000044572,0.02524625000000924,0.01295820799998637
large,standard,product_columns,0.024735006000014437,0.02648767699997734,0.01828663499998129
large,standard,read_collect,0.04870241799994801,0.026714381999909165,0.007236083999941911
large,standard,std,0.02444663100004618,0.025443326000072375,0.006569670999965638
large,standard,sum_columns,0.02807538799993381,0.025104571000042597,0.0268503460000602
large,standard,value_counts,0.03809938599999896,0.02634446999991269,0.008767758999965736
medium,filtered,count,0.017247176999944713,0.014863935999983369,0.005168875000094886
medium,filtered,count_index,0.0169697169999381,0.015329286999985925,0.005292487000019719
medium,filtered,groupby,0.04369761300006303,0.016015058999983012,0.007243425000069692
medium,filtered,join,0.02187024299996665,0.015217192000022806,0.006280184000047484
medium,filtered,join_count,0.03157779700006813,0.014804669000000104,0.008957692999956635
medium,filtered,mean,0.018656988999964597,0.014427517000058288,0.005217291000008117
medium,filtered,mean_product,0.023370698000007906,0.014507385000001705,0.005834856999967997
medium,filtered,mean_sum,0.02073200799998176,0.014370998000003965,0.005147512999997161
medium,filtered,product_columns,0.018474039000011544,0.014017827999964538,0.006712471000014375
medium,filtered,std,0.021819303000029322,0.01730038499999864,0.00576005699997495
